AUDI,A4,211,4,CAEB,SCV
AUDI,A4,211,4,CAEB,SCV
AUDI,Q5,240,6,CPHB,SA
AUDI,Q5,240,6,CPHB,SA
BENTLEY,Continental GT,616,12,CVA-A,SA
BENTLEY,Continental GT,616,12,CVA-A,SA
BENTLEY,Continental GT,616,12,CVA-A,SA
BMW,228i,181,4,2.0-N20-F22,M
BMW,228i,181,4,2.0-N20-F22,M
BMW,228i,181,4,2.0-N20-F22,M
BMW,228i xDrive,240,4,2.0-N26-F22X,SA
BMW,228i xDrive,240,4,2.0-N26-F22X,SA
BMW,228i xDrive,240,4,2.0-N26-F22X,SA
BMW,428i Convertible xDrive,240,4,2.0-N26-F3x,SA
BMW,428i Convertible xDrive,240,4,2.0-N26-F3x,SA
BMW,428i Convertible xDrive,240,4,2.0-N26-F3x,SA
BMW,428i Gran Coupe,240,,2.0-N20-F36,SA
BMW,428i Gran Coupe,240,,2.0-N20-F36,SA
BMW,428i Gran Coupe,240,,2.0-N20-F36,SA
BMW,428i Gran Coupe,240,,2.0-N20-F36,SA
SUBARU,WRX,268,4,F2.0CME,M
SUBARU,WRX,268,4,G2.0CDE,SCV
Volvo,XC90 T6 AWD,316,4,GA2:2,SA
Volvo,XC90 T6 AWD,316,4,GA2:2,SA
Volvo,XC90 T6 AWD,316,4,GA2:2,SA